,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
0,的,,1.0,1,de," dí, dì","possessive, adjectival suffix",的," [de] &LT;grammatical particle marking genitive as well as simple and composed adjectives&GT;; 我的 wǒde my; 高的 gāode high, tall; 是的 shìde that's it, that's right; 是...的 shì...de one who...; 他是说汉语的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.<BR>[dì] 目的 mùdì goal<BR>[dí] true, real; 的确 díquè certainl<BR><BR>rank = 1
","我的; 高的; 是的; 是…的……; 他是说汉语的; 目的, 的确","我<span class=examplehanzi>的</span>; 高<span class=examplehanzi>的</span>; 是<span class=examplehanzi>的</span>; 是…<span class=examplehanzi>的</span>……; 他是说汉语<span class=examplehanzi>的</span>; 目<span class=examplehanzi>的</span>, <span class=examplehanzi>的</span>确"
1,一,,1.0,2,yī,,"one; a, an; alone",一," [yī] one, a little; 第一 dì-yī first, primary; 看一看 kànyīkàn have a (quick) look at<BR>[yí] (used before tone #4); 一个人 yí gè rén one person; 一定 yídìng certain; 一样 yíyàng same; 一月yíyuè January<BR>[yì] (used before tones #2 and #3); 一点儿 yìdiǎnr a little; 一些 yìxiē some<BR>{Compare with 幺(F么) yāo, which also means 'one'<BR><BR>rank = 2
",第一; 看一看; 一个人; 一定; 一样; 一月; 一点儿; 一些,第<span class=examplehanzi>一</span>; 看<span class=examplehanzi>一</span>看; <span class=examplehanzi>一</span>个人; <span class=examplehanzi>一</span>定; <span class=examplehanzi>一</span>样; <span class=examplehanzi>一</span>月; <span class=examplehanzi>一</span>点儿; <span class=examplehanzi>一</span>些
2,是,,1.0,3,shì,,"indeed, yes, right; to be; demonstrative pronoun, this, that",是," [shì] to be, 是不是? shìbushì? is (it) or is (it) not?; 是否 shìfǒu whether or not, is (it) or is (it) not<BR><BR>rank = 3
",是不是; 是否,<span class=examplehanzi>是</span>不<span class=examplehanzi>是</span>; <span class=examplehanzi>是</span>否
3,不,,1.0,4,bù," fǒu, fōu","no, not; un-; negative prefix",不," [bù] not<BR>[bú] (used before tone #4); 不是 bú shì isn'<BR><BR>rank = 4
",不是,<span class=examplehanzi>不</span>是
4,了,瞭   ,1.0,5,le, liǎo,to finish; particle of completed action,了," [le] &LT;verb particle marking a new situation or a completed action&GT;; 你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gotten tired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.<BR>[liǎo] end, finish, settle, dispose of, know clearly, to be able, (=了解 liǎojiě) understand, comprehend; 了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent; 了了 liǎole <colloquial> to be over/ended/finnish/settled; 你卖不了! Nǐ mài bùliǎo! You will not be able to sell (it)!<BR>[liào] (=�t liaò) to survey/watch<BR>{Compare with 子 zǐ child<BR><BR>rank = 5
","你来了, 我累了, 那好了, 我只请了一位客人; 了解; 了了; 了了; 你卖不了","你来<span class=examplehanzi>了</span>, 我累<span class=examplehanzi>了</span>, 那好<span class=examplehanzi>了</span>, 我只请<span class=examplehanzi>了</span>一位客人; <span class=examplehanzi>了</span>解; <span class=examplehanzi>了</span><span class=examplehanzi>了</span>; <span class=examplehanzi>了</span><span class=examplehanzi>了</span>; 你卖不<span class=examplehanzi>了</span>"
5,在,,1.0,6,zài,,"be at, in, on; consist in, rest",在," [zài] at; 现在 xiànzài now; 存在 cúnzài exis<BR><BR>rank = 8
",现在; 存在,现<span class=examplehanzi>在</span>; 存<span class=examplehanzi>在</span>
6,人,,1.0,7,rén,,man; people; mankind; someone else,人," [rén] person; 人类 rénlèi humankind; 有人吗? yǒu rén ma? Is there anybody here?<BR>{Compare with 入 rù enter<BR><BR>rank = 6
",人类; 有人吗,<span class=examplehanzi>人</span>类; 有<span class=examplehanzi>人</span>吗
7,有,,1.0,8,yǒu, yòu,"have, own, possess; exist",有," [yǒu] have, there is; 没有 méiyǒu haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?; 有的 yǒude some<BR>[yòu] (=又 yòu) again, both... and...</T<BR><BR>rank = 9
",没有; 有没有; 有的; 又……,没<span class=examplehanzi>有</span>; <span class=examplehanzi>有</span>没<span class=examplehanzi>有</span>; <span class=examplehanzi>有</span>的; 又……
8,我,,1.0,9,wǒ,,"our, us, i, me, my, we",我," [wǒ] I, me, my; 我们 wǒmen we, us<BR>{Compare with 找 zhǎo seek<BR><BR>rank = 7
",我们,<span class=examplehanzi>我</span>们
9,他,,1.0,10,tā,,"other, another; he, she, it",他," [tā] he, him, his, (she, her, it, its), (=其他 qítā) other<BR>[tuō] (in classical texts) someone else, something els<BR><BR>rank = 10
",其他,其<span class=examplehanzi>他</span>
10,这,這   ,1.0,11,zhè, zhèi,"this, the, here",这," [zhè] this; 这儿 zhèr here<BR>[zhèi] this (before classifier<BR><BR>rank = 11
",这儿,<span class=examplehanzi>这</span>儿
11,个,個 箇  ,1.0,12,gè, gě,"numerary adjunct, piece; single",个," [gè] &LT;general and non-specific classifier&GT;; 个人 gèrén personal; 个人主页 gèrénzhùyè personal homepage<BR>[gě] 自个 zìgě onesel<BR><BR>rank = 17
",个人; 个人主页; 自个,<span class=examplehanzi>个</span>人; <span class=examplehanzi>个</span>人主页; 自<span class=examplehanzi>个</span>
12,们,們   ,1.0,13,men,,adjunct pronoun indicate plural,们," [men] &LT;pluralizing suffix for pronouns and nouns referring to persons&GT;; 我们 wǒmen we; 人们 rénmen people, person<BR><BR>rank = 20
",我们; 人们,我<span class=examplehanzi>们</span>; 人<span class=examplehanzi>们</span>
13,中,,1.0,14,zhōng, zhòng,"central; center, middle; in the midst of; hit (target); attain",中," [zhōng] middle, in; 中国 Zhōngguó China<BR>[zhòng] hit (a target<BR><BR>rank = 12
",中国,<span class=examplehanzi>中</span>国
14,来,來   ,1.0,15,lái, lài,"come, coming; return, returning",来," [lái] come; 原来 yuánlái originally, as a matter of fact; 来年 láinián coming/next year(s)<BR>[lai] (when used as a verb complement); 起来 qǐlai get u<BR><BR>rank = 14
","原来; 来年, 起来","原<span class=examplehanzi>来</span>; <span class=examplehanzi>来</span>年, 起<span class=examplehanzi>来</span>"
15,上,,1.0,16,shàng,,"top; superior, highest; go up, send up",上," [shàng] above, on, over, top, (go) up, last, previous<BR>[shǎng] 上声 shǎngshēng 3rd tone in Mandarin<BR>[shang] (when used as a verb complement)<BR>{Compare with 下 xià under<BR><BR>rank = 15
",上声,<span class=examplehanzi>上</span>声
16,大,,1.0,17,dà," dài, tài","big, great, vast, large, high",大," [dà] big; 多大? duōdà? how large?; 大小 dàxiǎo size; 大家 dàjiā everybody<BR>[dài] 大夫 dàifu doctor<BR>{Compare with 太 tài very and 木 mù tree<BR><BR>rank = 13
",多大; 大小; 大家; 大夫,多<span class=examplehanzi>大</span>; <span class=examplehanzi>大</span>小; <span class=examplehanzi>大</span>家; <span class=examplehanzi>大</span>夫
17,为,為   ,2.0,18,wèi, wéi,"do, handle, govern, act; be",为," [wèi] for, for the sake of, in order to, in this connection<BR>[wéi] do, act, act as, be, become; 认为 rènwéi think or believe that...; 以为 yǐwéi think or believe erroneously that...<BR>{Compare with 办 bàn do<BR><BR>rank = 21
",认为…; 以为…,认<span class=examplehanzi>为</span>…; 以<span class=examplehanzi>为</span>…
18,和,龢 和  ,1.0,19,hé," huò, huó, hè","harmony, peace; peaceful, calm",和," [hé] together, with, (F��) harmony, gentle, mild, kind, &LT;family name&GT;; 和平 hépíng peace<BR>[Hé] Japan<BR>[huo] 暖和 nuǎnhuo nice and warm<BR>[hè] join in singing, compose a poem in reply<BR>[huó] mix with water<BR>[huò] mix, blend<BR>[hú] complete a set in Mahjon<BR><BR>rank = 23
","和平, 暖和","<span class=examplehanzi>和</span>平, 暖<span class=examplehanzi>和</span>"
19,国,國   ,1.0,20,guó,,"nation, country, nation-state",国," [guó] (=国家 guójiā) country, state, nation, &LT;family name&GT;; 中国 Zhōngguó China; 美国 Měiguó US<BR><BR>rank = 16
","国家, 中国; 美国","<span class=examplehanzi>国</span>家, 中<span class=examplehanzi>国</span>; 美<span class=examplehanzi>国</span>"
20,地,,3.0,21,dì, de,"earth; soil, ground; region",地," [dì] earth, ground, soil, place, position, distance; 地支 dìzhī the Twelve Terrestrial Branches<BR>[de] &LT;adverbial particle= descripion + 地 + verb&GT;, ~ly; 快地走 kuàide zǒu walk quickl<BR><BR>rank = 25
","地支, 地, 快地走","<span class=examplehanzi>地</span>支, <span class=examplehanzi>地</span>, 快<span class=examplehanzi>地</span>走"
21,到,,2.0,22,dào,,"go to, arrive, been to",到," [dào] to, towards, until, arrive, reac<BR><BR>rank = 18
",,
22,以,,2.0,23,yǐ,,"by means of; thereby, therefore; consider as; in order to",以," [yǐ] use, take, according to, because of, in order to; 可以 kěyǐ OK, may; 所以 suǒyǐ so, therefore, as a result; 以外 yǐwài beyond, excep<BR><BR>rank = 36
",可以; 所以; 以外,可<span class=examplehanzi>以</span>; 所<span class=examplehanzi>以</span>; <span class=examplehanzi>以</span>外
23,说,説 說  ,1.0,24,shuō," shuì, tuō, yuè","speak, say, talk; scold, upbraid",说," [shuō] explain, scold, refer to, (=说话 shuōhuà) speak, say; 游说 yóushuō persuade<BR>[shuì] try to persuade; 游说 yóushuì lobbyin<BR><BR>rank = 19
","说话; 游说, 游说","<span class=examplehanzi>说</span>话; 游<span class=examplehanzi>说</span>, 游<span class=examplehanzi>说</span>"
24,时,時   ,1.0,25,shí,,"time, season; era, age, period",时," [shí] period, season, (=时间 shíjiān, =时候 shíhou) time, (=小时 xiǎoshí) hou<BR><BR>rank = 29
",时间时候小时,<span class=examplehanzi>时</span>间<span class=examplehanzi>时</span>候小<span class=examplehanzi>时</span>
25,要,,2.0,26,yào," yāo, yǎo","necessary, essential; necessity",要," [yào] want, will, shall, need, important, essential; 主要 zhǔyào main, fundamental<BR>[yāo] 要求 yāoqiú deman<BR><BR>rank = 34
",主要; 要求,主<span class=examplehanzi>要</span>; <span class=examplehanzi>要</span>求
26,就,,2.0,27,jiù,,"just, simply; to come, go to; to approach, near",就," [jiù] just, simply, right away; 就要 jiùyào about to (do something); 这就是我! Zhè jiùshì wǒ! This is simply me!; 他就要去. Tā jiùyào qù. He is about to leave<BR><BR>rank = 32
","就要; 这就是我, 他就要去","<span class=examplehanzi>就</span>要; 这<span class=examplehanzi>就</span>是我, 他<span class=examplehanzi>就</span>要去"
27,出,出 齣  ,1.0,28,chū,,"go out, send out; stand; produce",出," [chū] go out, come out, in direction out from something, emit, issue, prouce; 出现 chūxiàn appear, emerge, (F�i) &LT;classifier for operas and plays&GT<BR><BR>rank = 26
",出现,<span class=examplehanzi>出</span>现
28,会,會   ,1.0,29,huì," kuài, guì","assemble, meet together; meeting",会," [huì] can, able, meet, meeting, society, union, party<BR>[kuài] 会计 kuàijì accounting<BR>[huǐ] 会儿 huìr momen<BR><BR>rank = 38
",会计; 会儿,<span class=examplehanzi>会</span>计; <span class=examplehanzi>会</span>儿
29,可,,2.0,30,kě, kè,"may, can, -able; possibly",可," [kě] ~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however; 可爱 kě'ài loveable, cute; 可能 kě'néng possible, probable, maybe; 可口可乐 kěkǒukělè Coca Cola<BR>[kè] 可汗 kèhán kha<BR><BR>rank = 47
",可以可是; 可爱; 可能; 可口可乐; 可汗,<span class=examplehanzi>可</span>以<span class=examplehanzi>可</span>是; <span class=examplehanzi>可</span>爱; <span class=examplehanzi>可</span>能; <span class=examplehanzi>可</span>口<span class=examplehanzi>可</span>乐; <span class=examplehanzi>可</span>汗
30,也,,2.0,31,yě,,also; classical final particle of strong affirmation or identity,也," [yě] also, as well; 也许 yěxǔ perhap<BR><BR>rank = 28
",也许,<span class=examplehanzi>也</span>许
31,你,妳   ,1.0,32,nǐ,,"you, second person pronoun",你," [nǐ] (Alternative feminine form= �� nǐ) you, your; 你们 nǐmen you (plural<BR><BR>rank = 24
",你们,<span class=examplehanzi>你</span>们
32,对,對   ,1.0,33,duì,,"correct, right; facing, opposed",对," [duì] correct, answer, treat, agree, mutual, pair; 对不起 duìbuqǐ excuse m<BR><BR>rank = 46
",对不起,<span class=examplehanzi>对</span>不起
33,生,,1.0,34,shēng,,"life, living, lifetime; birth",生," [shēng] give birth, life; 先生 xiānsheng mister, gentleman, Si<BR><BR>rank = 37
",先生,先<span class=examplehanzi>生</span>
34,能,,1.0,35,néng," nài, tái, tài, nái,xióng","to be able; can, permitted to; ability",能," [néng] can, be able; 能够 nénggòu be capable of; 可能 kě'néng mayb<BR><BR>rank = 57
",能够; 可能,<span class=examplehanzi>能</span>够; 可<span class=examplehanzi>能</span>
35,而,,3.0,36,ér, néng,and; and then; and yet; but,而," [ér] (=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even s<BR><BR>rank = 56
",而且然而,<span class=examplehanzi>而</span>且然<span class=examplehanzi>而</span>
36,子,,1.0,37,zǐ, zi,"offspring, child; fruit, seed of; 1st terrestrial branch",子," [zǐ] child, son; 子女 zǐnǚ sons and daughters; 儿子 érzi son<BR>[zi] (noun suffix); 桌子 zhuōzi table<BR>{Compare with 了 le &LT;particle&GT;<BR><BR>rank = 22
","子女; 儿子, 桌子","<span class=examplehanzi>子</span>女; 儿<span class=examplehanzi>子</span>, 桌<span class=examplehanzi>子</span>"
37,那,,1.0,38,nà," nèi, nā, nǎ, né,něi, nuó, nuò","that, that one, those",那," [nà] that<BR>[nèi] that (before classifier)<BR>[nuó] 禅那 chánnuó deep meditation<BR>[nuò] 无那 wúnuò helpless, unfortunately<BR>[nǎ] (=哪 nǎ) what?<BR>[něi] (=哪 něi before classifier) which<BR><BR>rank = 33
",禅那; 无那; 哪; 哪,禅<span class=examplehanzi>那</span>; 无<span class=examplehanzi>那</span>; 哪; 哪
38,得,,2.0,39,dé," de, děi","obtain, get, gain, acquire",得," [de] &LT;adverbial particle= verb + 得 + descripion&GT;; 走得快 zǒude kuài walk quickly<BR>[dé] get, reach, achieve<BR>[děi] shoul<BR><BR>rank = 31
","得, 走得快","<span class=examplehanzi>得</span>, 走<span class=examplehanzi>得</span>快"
39,于,於 于  ,3.0,40,yú, xū,"in, on, at; go to; surname",于," [yú] &LT;family name&GT;, (F於) in, at, for, to, from, by, than<BR>{Compare with 千 qiān thousand and 干 gān stem<BR><BR>rank = 63
",於,於
40,着,著   ,2.0,41,zháo," zhe, zhāo,zhuó","make move, take action",着," [zhe] &LT;verb particle marking a continuing progress/state&GT;<BR>[zháo] touch<BR>[zhuó] wear clothes, dress, touch<BR>[zhāo] put in, add, (F招) make move in chess, trick, deciev<BR><BR>rank = 40
",招,招
41,下,,1.0,42,xià,,"under, underneath, below; down; inferior; bring down",下," [xià] below, under, (go) down, next (as opposed to previous/last)<BR>{Compare with 上 shàng above<BR><BR>rank = 35
",,
42,自,,2.0,43,zì,,"self, private, personal; from",自," [zì] from, since, (=自己 zìjǐ) self; 自然 zìrán nature<BR>{Compare with 目 mù eye and 白 bái white<BR><BR>rank = 39
",自己; 自然,<span class=examplehanzi>自</span>己; <span class=examplehanzi>自</span>然
43,之,,4.0,44,zhī,,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",之," [zhī] &LT;subordinator similar to 的 de&GT;, it (in classical texts<BR><BR>rank = 42
",的,的
44,年,,1.0,45,nián,,year; new-years; person's age,年," [nián] year, &LT;family name&GT;; 今年 jīnnián this year; 明年 míngnián next year; 去年 qùnián last year; 中年 zhōngnián middle ag<BR><BR>rank = 30
",今年; 明年; 去年; 中年,今<span class=examplehanzi>年</span>; 明<span class=examplehanzi>年</span>; 去<span class=examplehanzi>年</span>; 中<span class=examplehanzi>年</span>
45,过,過   ,2.0,46,guò, guō,"pass, pass through, go across",过," [guò] pass, cross, go by, exceed, &LT;verb particle marking that someone has had the experience of doing something, that it has happened at least once&GT;; 过马路 guò mǎlù cross the street; 我去过中国两次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice<BR><BR>rank = 43
",过马路; 我去过中国两次,<span class=examplehanzi>过</span>马路; 我去<span class=examplehanzi>过</span>中国两次
46,发,髮 發  ,3.0,47,fā," fà, fǎ, bō","issue, dispatch, send out; hair",发," [fā] (F�l) deliver, utter, express, shoot, emit, develop, expand<BR>[fà] (F��) hair<BR>[fa] (F��) 头发 tóufa hai<BR><BR>rank = 66
",头发,头<span class=examplehanzi>发</span>
47,后,後 后  ,1.0,48,hòu,,"queen, empress, sovereign; (simp. for 後) behind, rear, after",后," [hòu] queen, (F後) after, behind, &LT;family name&GT;; 后天 hòutiān the day after tomorro<BR><BR>rank = 50
","後, 后天","後, <span class=examplehanzi>后</span>天"
48,作,,1.0,49,zuò," zuō, zuó","make; work; compose, write; act, perform",作," [zuò] do, make; 工作 gōngzuò work; 作业 zuòyè homework<BR>[zuó] 作践 zuójian spoil, waste, humiliate, insult<BR>[zuō] d<BR><BR>rank = 70
",工作; 作业; 作践,工<span class=examplehanzi>作</span>; <span class=examplehanzi>作</span>业; <span class=examplehanzi>作</span>践
49,里,裡 浬 裏 里,1.0,50,lǐ,,unit of distance; village; lane,里," [lǐ] neighbourhood, half kilometer, &LT;family name&GT;, (F�Y,�e) in, inside, lining; 哪里? nǎli? where?; 那里 nàli there; 这里 zhèli her<BR><BR>rank = 49
",哪里; 那里; 这里,哪<span class=examplehanzi>里</span>; 那<span class=examplehanzi>里</span>; 这<span class=examplehanzi>里</span>
50,用,,3.0,51,yòng,,"use, employ, apply, operate; use",用," [yòng] use; 好用 hǎoyòng useful; 不用 búyòng there's no need; 使用 shǐyòng use, apply<BR>{Compare with 甩 shuǎi swing<BR><BR>rank = 79
",好用; 不用; 使用,好<span class=examplehanzi>用</span>; 不<span class=examplehanzi>用</span>; 使<span class=examplehanzi>用</span>
51,道,,2.0,52,dào, dǎo,"path, road, street; method, way",道," [dào] way, path, channel, way, say, a streak (of light), doctrine, &LT;classifier for rivers, topics, etc.&GT;, (=道教 Dàojiào) Taoism; 知道 zhīdao know<BR>[dǎo] (=导 dǎo) lead; 领道 = 领导 lǐngdǎo leade<BR><BR>rank = 27
",道教; 知道; 导; 领道领导,<span class=examplehanzi>道</span>教; 知<span class=examplehanzi>道</span>; 导; 领<span class=examplehanzi>道</span>领导
52,行,,2.0,53,xíng," háng, xìng,hàng, héng","go; walk; move, travel; circulate",行," [xíng] go, OK; 行动 xíngdòng action, operation, move, get about, act<BR>[háng] line; 银行 yínháng bank; 行业 hángyè profession<BR>[hàng] 树行子 shùhàngzi rows of trees<BR>[héng] (phonetic radical<BR><BR>rank = 81
","行动, 银行; 行业; 树行子","<span class=examplehanzi>行</span>动, 银<span class=examplehanzi>行</span>; <span class=examplehanzi>行</span>业; 树<span class=examplehanzi>行</span>子"
53,所,,2.0,54,suǒ,,"place, location; numerary adjunct",所," [suǒ] place; 所以 suǒyǐ so, therefore; 所有 suǒyǒu all; 厕所 cèsuǒ toile<BR><BR>rank = 86
",所以; 所有; 厕所,<span class=examplehanzi>所</span>以; <span class=examplehanzi>所</span>有; 厕<span class=examplehanzi>所</span>
54,然,,3.0,55,rán,,"yes, certainly; pledge, promise",然," [rán] right, correct, so, like that; 虽然 suīrán although; 忽然 hūrán suddenly; 当然 dāngrán of course; 自然 zìrán natur<BR><BR>rank = 60
",虽然; 忽然; 当然; 自然,虽<span class=examplehanzi>然</span>; 忽<span class=examplehanzi>然</span>; 当<span class=examplehanzi>然</span>; 自<span class=examplehanzi>然</span>
55,家,家 傢  ,1.0,56,jiā," jie, gū","house, home, residence; family",家," [jiā] home, house, family; 国家 guójiā nation; 大家 dàjiā everybody<BR>[jie] 整天家 zhěngtiānjie all day long; 家里 jiālǐ (at) home, (in the) famil<BR><BR>rank = 44
",国家; 大家; 整天家; 家里,国<span class=examplehanzi>家</span>; 大<span class=examplehanzi>家</span>; 整天<span class=examplehanzi>家</span>; <span class=examplehanzi>家</span>里
56,种,種   ,3.0,57,zhǒng," chóng, zhòng","seed; race, breed; to plant",种," [zhǒng] kind, sort, breed, race<BR>[zhòng] to plant, cultivat<BR><BR>rank = 127
",,
57,事,,2.0,58,shì,,"affair, matter, business; to serve; accident, incident",事," [shì] matter, affair, thing, event, accident, job, responsibility; 事情 shìqing situatio<BR><BR>rank = 68
",事情,<span class=examplehanzi>事</span>情
58,成,,3.0,59,chéng,,"completed, finished, fixed",成," [chéng] (=成为 chéngwéi, =变成 biànchéng) become, &LT;family name&GT;; 成功 chénggōng succeed; 完成 wánchéng accomplish, complete, fulfill; 成语 chéngyǔ idio<BR><BR>rank = 67
","成为变成, 成功; 完成; 成语","<span class=examplehanzi>成</span>为变<span class=examplehanzi>成</span>, <span class=examplehanzi>成</span>功; 完<span class=examplehanzi>成</span>; <span class=examplehanzi>成</span>语"
59,方,,3.0,60,fāng," fēng, páng,wǎng","a square, rectangle; a region; local",方," [fāng] side, square; 地方 dìfang place; 方面 fāngmiàn aspect<BR>{Compare with 万 wàn ten thousand<BR><BR>rank = 82
",地方; 方面,地<span class=examplehanzi>方</span>; <span class=examplehanzi>方</span>面
60,多,,1.0,61,duō,,"much, many; more than, over",多," [duō] many, much, more; 多大 duōdà how large?; 多少 duōshǎo how many/much<BR><BR>rank = 54
",多大; 多少,<span class=examplehanzi>多</span>大; <span class=examplehanzi>多</span>少
61,经,經   ,2.0,62,jīng, jìng,classic works; pass through,经," [jīng] longitude (both geographic and in Chinese medecin), scripture, constant, regular, &LT;family name&GT;, deal with, (=经纪 jīngjì) manage (a business); 已经 yǐjing already; 经过 jīngguò pass, go through; 经验 jīngyàn experience; 经由 jīngyóu via, by way of; 经常 jīngcháng frequent, daily; 易经 Yìjīng Book of Changes<BR><BR>rank = 89
",经纪; 已经; 经过; 经验; 经由; 经常; 易经,<span class=examplehanzi>经</span>纪; 已<span class=examplehanzi>经</span>; <span class=examplehanzi>经</span>过; <span class=examplehanzi>经</span>验; <span class=examplehanzi>经</span>由; <span class=examplehanzi>经</span>常; 易<span class=examplehanzi>经</span>
62,么,麼   ,1.0,63,yāo," mo, me, ma,mǒ",interrogative particle; repetition of a tune small; tender,么," [me/mo] (F�N,末) (interrogative suffix) 什么? shénme? what?; 为什么? wèishénme? why? 没什么! méi shénme! It doesn't matter!, Never mind!; 怎么? zěnme? how?<BR>[yāo] (S幺) youngest, one (e.g. in bus/house/phone numbers<BR><BR>rank = 52
","末什么; 为什么没什么, 怎么; 幺","末什<span class=examplehanzi>么</span>; 为什<span class=examplehanzi>么</span>没什<span class=examplehanzi>么</span>, 怎<span class=examplehanzi>么</span>; 幺"
63,去,,1.0,64,qù,,"go away, leave, depart",去," [qù] go, leave, depart (opposite of 来 lái<BR><BR>rank = 41
",来,来
64,法,,3.0,65,fǎ,,"law, rule, regulation, statute; France, French",法," [fǎ] (=法律 fǎlǜ) law, (=办法 bànfǎ) method; 法国 Fǎguó Franc<BR><BR>rank = 116
",法律办法; 法国,<span class=examplehanzi>法</span>律办<span class=examplehanzi>法</span>; <span class=examplehanzi>法</span>国
65,学,學   ,1.0,66,xué,,"learning, knowledge; school",学," [xué] study, learn; 学校 xuéxiào school; 学生 xuésheng student<BR>{Compare with 字 zì written character<BR><BR>rank = 45
",学校; 学生,<span class=examplehanzi>学</span>校; <span class=examplehanzi>学</span>生
66,如,,3.0,67,rú,,"if, supposing; as if; like, as",如," [rú] like, as, as if, (=如果 rúguǒ) if; 如此 rúcǐ like thi<BR><BR>rank = 84
",如果; 如此,<span class=examplehanzi>如</span>果; <span class=examplehanzi>如</span>此
67,都,,1.0,68,dū, dōu,"metropolis, capital; all, the whole; elegant, refined",都," [dōu] all<BR>[dū] (=首都 shǒudū) capital cit<BR><BR>rank = 59
",首都,首<span class=examplehanzi>都</span>
68,同,同 仝  ,1.0,69,tóng, tòng,"same, similar; together with",同," [tóng] same, with; 同志 tóngzhì comrade<BR>[tòng] (F�h) 胡同 hútòng lan<BR><BR>rank = 93
",同志; 胡同,<span class=examplehanzi>同</span>志; 胡<span class=examplehanzi>同</span>
69,现,現   ,1.0,70,xiàn,,"appear, manifest, become visible",现," [xiàn] show, appear, current; 现在 xiànzài now; 发现 fāxiàn discover; 现代 xiàndài moder<BR><BR>rank = 104
",现在; 发现; 现代,<span class=examplehanzi>现</span>在; 发<span class=examplehanzi>现</span>; <span class=examplehanzi>现</span>代
70,当,當 噹  ,3.0,71,dāng, dàng,"bear, accept, undertake; just",当," [dāng] (F��) serve as, (F��) ding-dong<BR>[dàng] (F��) proper, right, equal, (=当作 dàngzuò) treat as, regard a<BR><BR>rank = 71
",当作,<span class=examplehanzi>当</span>作
71,没,沒   ,1.0,72,méi," mò, me","not, have not, none; drown, sink",没," [méi] (=没有 méiyǒu) haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?<BR>[mò] sink, overflow, disappear, confiscat<BR><BR>rank = 61
",没有; 有没有,<span class=examplehanzi>没</span>有; 有<span class=examplehanzi>没</span>有
72,动,動   ,2.0,73,dòng,,"move, happen; movement, action",动," [dòng] move, change, arouce; 动物 dòngwù animal; 活动 huódòng activity; 运动 yùndòng sport<BR><BR>rank = 98
",动物; 活动; 运动,<span class=examplehanzi>动</span>物; 活<span class=examplehanzi>动</span>; 运<span class=examplehanzi>动</span>
73,面,麵 麪 面 ,1.0,74,miàn,,"face; surface; plane; side, dimension",面," [miàn] face, surface, &LT;classifier for mirrors, flags, etc.&GT;, (F�I) wheat flour, (=面条 miàntiáo) noodle; 面包 miànbāo brea<BR><BR>rank = 91
",面条; 面包,<span class=examplehanzi>面</span>条; <span class=examplehanzi>面</span>包
74,起,,1.0,75,qǐ,,"rise, stand up; go up; begin",起," [qǐ] rise, start; 起来 qǐlai get up; 对不起 duìbuqǐ excuse me<BR>[qi] (when used as a verb complement<BR><BR>rank = 64
",起来; 对不起,<span class=examplehanzi>起</span>来; 对不<span class=examplehanzi>起</span>
75,看,,1.0,76,kàn, kān,"look, see; examine, scrutinize",看," [kàn] see, look at, read, think, consider<BR>[kān] look after, tend; 看守 kānshǒu guar<BR><BR>rank = 73
",看守,<span class=examplehanzi>看</span>守
76,定,,3.0,77,dìng,,"decide, settle, fix",定," [dìng] fix, settle, calm, stable, subscribe, (=决定 juédìng) decide; 一定 yídìng definit<BR><BR>rank = 140
",决定; 一定,决<span class=examplehanzi>定</span>; 一<span class=examplehanzi>定</span>
77,天,,1.0,78,tiān,,"sky, heaven; god, celestial",天," [tiān] sky, heaven, god, day, (=天空 tiānkōng) sky; 天气 tiānqì weather<BR>{天干 tiāngān the Ten Heavenly Stems= 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters are sometimes used as ordinal numbers}<BR>{Compare with 夫 fū man and 无 wú without<BR><BR>rank = 55
",天空; 天气,<span class=examplehanzi>天</span>空; <span class=examplehanzi>天</span>气
78,分,分 份  ,1.0,79,fēn, fèn,divide; small unit of time etc.,分," [fēn] divide, fraction, minute, cent; 百分之五 bǎifēnzhīwǔ = 5/100 = 5%<BR>[fèn] limits of rights or dut<BR><BR>rank = 105
",百分之五,百<span class=examplehanzi>分</span>之五
79,还,還   ,2.0,80,huán," hái, xuán","still, yet, also, besides",还," [hái] still, yet<BR>[huán] return, give bac<BR><BR>rank = 65
",,
80,进,進   ,2.0,81,jìn,,"advance, make progress, enter",进," [jìn] enter, go forward, recieve, drink, eat, submit; 进步 jìnbù progres<BR><BR>rank = 114
",进步,<span class=examplehanzi>进</span>步
