,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
1991,奸,,,1992,jiān,,"crafty, villainous, false",奸," [jiān] treacherous, traitor; (F��) adultery; 强奸 qiángjiān rap<BR><BR>rank = 1543
",强奸,强<span class=examplehanzi>奸</span>
1992,扇,搧 扇  ,5.0,1993,shàn, shān,fan; door panel,扇," [shàn] a fan, slap, &LT;classifier for doors etc.&GT;; 一扇门 yí shàn mén<BR>[shān] to fan, slap, incit<BR><BR>rank = 1914
",一扇门,一<span class=examplehanzi>扇</span>门
1993,柜,櫃   ,5.0,1994,guì, jǔ,"cabinet, cupboard; shop counter",柜," [guì] (F��) (=柜子 guìzi) cabinet; 柜台 guìtái counter; 掌柜 zhǎngguì shopkeeper<BR>[jǔ] 柜柳 jǔliǔ tree of the willow family,large tree good for making furniture/etc<BR><BR>rank = 1885
",柜子; 柜台; 掌柜; 柜柳,<span class=examplehanzi>柜</span>子; <span class=examplehanzi>柜</span>台; 掌<span class=examplehanzi>柜</span>; <span class=examplehanzi>柜</span>柳
1994,悦,悦 悅  ,6.0,1995,yuè,,"pleased, contented, gratified",悦," [yuè] (=喜悦 xǐyuè) happy, joyful, delighte<BR><BR>rank = 2045
",喜悦,喜<span class=examplehanzi>悦</span>
1995,拦,攔   ,5.0,1996,lán,,"obstruct, impede, bar, hinder",拦," [lán] block the wa<BR><BR>rank = 1873
",,
1996,诞,誕   ,6.0,1997,dàn,,"bear children, give birth; birth",诞," [dàn] 诞生 dànshēng be born; 圣诞节 Shèngdànjié Christma<BR><BR>rank = 1894
",诞生; 圣诞节,<span class=examplehanzi>诞</span>生; 圣<span class=examplehanzi>诞</span>节
1997,饱,飽   ,3.0,1998,bǎo,,eat heartily; eat one's fill,饱," [bǎo] full (after meal<BR><BR>rank = 1831
",,
1998,乾,,,1999,gān, qián,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)",乾," [qián] heaven; 乾道 qiándào ways of heaven, natural law; 乾坤 qiánkūn heaven and earth, the universe<BR>[gān] (S干) dry, hollo<BR><BR>rank = 1792
",乾道; 乾坤; 干,<span class=examplehanzi>乾</span>道; <span class=examplehanzi>乾</span>坤; 干
1999,泡,,6.0,2000,pào," páo, pāo","bubbles, suds; blister; soak",泡," [pào] soak, bubble; 泡菜 pàocài pickle; 泡沫 pàomò foam<BR>[pāo] spong<BR><BR>rank = 1985
",泡菜; 泡沫,<span class=examplehanzi>泡</span>菜; <span class=examplehanzi>泡</span>沫
2000,贼,賊   ,6.0,2001,zéi, zé,"thief, traitor; kill",贼," [zéi] thie<BR><BR>rank = 1526
",,
